airport,date,day,month,year,temp_max,temp_min
APN,8-10-2015,10,8,2015,72,57,
APN,8-11-2015,11,8,2015,75,54,
APN,8-12-2015,12,8,2015,76,57,
APN,8-13-2015,13,8,2015,86,60,
APN,8-14-2015,14,8,2015,83,58,
APN,8-15-2015,15,8,2015,81,60,
APN,8-16-2015,16,8,2015,85,60,
APN,8-17-2015,17,8,2015,81,57,
APN,8-18-2015,18,8,2015,76,56,
APN,8-19-2015,19,8,2015,80,60,
ARA,8-10-2015,10,8,2015,98,78,
ARA,8-11-2015,11,8,2015,99,76,
ARA,8-12-2015,12,8,2015,96,74,
ARA,8-13-2015,13,8,2015,96,72,
ARA,8-14-2015,14,8,2015,98,73,
ARA,8-15-2015,15,8,2015,93,73,
ARA,8-16-2015,16,8,2015,93,72,
ARA,8-17-2015,17,8,2015,93,73,
ARA,8-18-2015,18,8,2015,91,74,
ARA,8-19-2015,19,8,2015,93,74,
ARM,8-11-2015,11,8,2015,70,39,
ARM,8-12-2015,12,8,2015,62,39,
ARM,8-13-2015,13,8,2015,59,33,
ARM,8-14-2015,14,8,2015,62,33,
ARM,8-15-2015,15,8,2015,71,38,
ARM,8-16-2015,16,8,2015,69,38,
ARM,8-17-2015,17,8,2015,69,41,
ARM,8-18-2015,18,8,2015,68,43,
ARM,8-19-2015,19,8,2015,69,40,
ARM,8-20-2015,20,8,2015,68,40,
ART,8-10-2015,10,8,2015,83,65,
ART,8-11-2015,11,8,2015,75,60,
ART,8-12-2015,12,8,2015,70,54,
ART,8-13-2015,13,8,2015,75,61,
ART,8-14-2015,14,8,2015,78,62,
ART,8-15-2015,15,8,2015,81,62,
ART,8-16-2015,16,8,2015,83,61,
ART,8-17-2015,17,8,2015,82,63,
ART,8-18-2015,18,8,2015,80,60,
ART,8-19-2015,19,8,2015,80,62,
ASE,8-10-2015,10,8,2015,78,51,
ASE,8-11-2015,11,8,2015,72,50,
ASE,8-12-2015,12,8,2015,76,48,
ASE,8-13-2015,13,8,2015,78,49,
ASE,8-14-2015,14,8,2015,80,50,
ASE,8-15-2015,15,8,2015,80,51,
ASE,8-16-2015,16,8,2015,76,49,
ASE,8-17-2015,17,8,2015,78,50,
ASE,8-18-2015,18,8,2015,78,49,
ASE,8-19-2015,19,8,2015,75,46,
AST,8-10-2015,10,8,2015,68,56,
AST,8-11-2015,11,8,2015,76,57,
AST,8-12-2015,12,8,2015,72,57,
AST,8-13-2015,13,8,2015,70,57,
AST,8-14-2015,14,8,2015,67,55,
AST,8-15-2015,15,8,2015,70,55,
AST,8-16-2015,16,8,2015,72,56,
AST,8-17-2015,17,8,2015,71,57,
AST,8-18-2015,18,8,2015,75,56,
AST,8-19-2015,19,8,2015,74,56,
ATL,8-10-2015,10,8,2015,90,70,
ATL,8-11-2015,11,8,2015,87,69,
ATL,8-12-2015,12,8,2015,87,65,
ATL,8-13-2015,13,8,2015,87,68,
ATL,8-14-2015,14,8,2015,86,67,
ATL,8-15-2015,15,8,2015,88,68,
ATL,8-16-2015,16,8,2015,89,69,
ATL,8-17-2015,17,8,2015,90,70,
ATL,8-18-2015,18,8,2015,91,70,
ATL,8-19-2015,19,8,2015,91,70,
ATS,8-10-2015,10,8,2015,99,67,
ATS,8-11-2015,11,8,2015,99,67,
ATS,8-12-2015,12,8,2015,97,70,
ATS,8-13-2015,13,8,2015,99,71,
ATS,8-14-2015,14,8,2015,101,71,
ATS,8-15-2015,15,8,2015,99,69,
ATS,8-16-2015,16,8,2015,96,68,
ATS,8-17-2015,17,8,2015,95,67,
ATS,8-18-2015,18,8,2015,95,67,
ATS,8-19-2015,19,8,2015,95,67,
ATW,8-10-2015,10,8,2015,79,58,
ATW,8-11-2015,11,8,2015,77,53,
ATW,8-12-2015,12,8,2015,81,62,
ATW,8-13-2015,13,8,2015,86,63,
ATW,8-14-2015,14,8,2015,83,61,
ATW,8-15-2015,15,8,2015,84,63,
ATW,8-16-2015,16,8,2015,87,61,
ATW,8-17-2015,17,8,2015,82,57,
ATW,8-18-2015,18,8,2015,80,60,
ATW,8-19-2015,19,8,2015,82,61,
ATY,8-10-2015,10,8,2015,80,60,
ATY,8-11-2015,11,8,2015,85,61,
ATY,8-12-2015,12,8,2015,90,67,
ATY,8-13-2015,13,8,2015,93,67,
ATY,8-14-2015,14,8,2015,92,68,
ATY,8-15-2015,15,8,2015,95,66,
ATY,8-16-2015,16,8,2015,82,58,
ATY,8-17-2015,17,8,2015,81,59,
ATY,8-18-2015,18,8,2015,84,60,
ATY,8-19-2015,19,8,2015,81,59,
AUG,8-10-2015,10,8,2015,77,59,
AUG,8-11-2015,11,8,2015,68,63,
AUG,8-12-2015,12,8,2015,78,58,
AUG,8-13-2015,13,8,2015,78,58,
AUG,8-14-2015,14,8,2015,81,62,
AUG,8-15-2015,15,8,2015,80,60,
AUG,8-16-2015,16,8,2015,80,60,
AUG,8-17-2015,17,8,2015,83,62,
AUG,8-18-2015,18,8,2015,85,60,
AUG,8-19-2015,19,8,2015,81,59,
AUH,8-11-2015,11,8,2015,118,90,
AUH,8-12-2015,12,8,2015,113,89,
AUH,8-13-2015,13,8,2015,111,87,
AUH,8-14-2015,14,8,2015,109,86,
AUH,8-15-2015,15,8,2015,111,86,
AUH,8-16-2015,16,8,2015,114,88,
AUH,8-17-2015,17,8,2015,113,88,
AUH,8-18-2015,18,8,2015,112,88,
AUH,8-19-2015,19,8,2015,110,88,
AUH,8-20-2015,20,8,2015,110,89,
AUM,8-10-2015,10,8,2015,79,56,
AUM,8-11-2015,11,8,2015,81,56,
AUM,8-12-2015,12,8,2015,85,62,
AUM,8-13-2015,13,8,2015,89,65,
AUM,8-14-2015,14,8,2015,90,64,
AUM,8-15-2015,15,8,2015,89,66,
AUM,8-16-2015,16,8,2015,84,61,
AUM,8-17-2015,17,8,2015,81,59,
AUM,8-18-2015,18,8,2015,81,61,
AUM,8-19-2015,19,8,2015,86,61,
AUO,8-10-2015,10,8,2015,93,73,
AUO,8-11-2015,11,8,2015,89,70,
AUO,8-12-2015,12,8,2015,91,66,
AUO,8-13-2015,13,8,2015,91,69,
AUO,8-14-2015,14,8,2015,89,68,
AUO,8-15-2015,15,8,2015,91,68,
AUO,8-16-2015,16,8,2015,91,68,
AUO,8-17-2015,17,8,2015,90,70,
AUO,8-18-2015,18,8,2015,91,70,
AUO,8-19-2015,19,8,2015,92,70,
AUS,8-10-2015,10,8,2015,101,78,
AUS,8-11-2015,11,8,2015,104,80,
AUS,8-12-2015,12,8,2015,102,78,
AUS,8-13-2015,13,8,2015,102,78,
AUS,8-14-2015,14,8,2015,100,77,
AUS,8-15-2015,15,8,2015,99,76,
AUS,8-16-2015,16,8,2015,100,75,
AUS,8-17-2015,17,8,2015,98,75,
AUS,8-18-2015,18,8,2015,98,76,
AUS,8-19-2015,19,8,2015,97,75,
AUW,8-10-2015,10,8,2015,78,57,
AUW,8-11-2015,11,8,2015,77,52,
AUW,8-12-2015,12,8,2015,82,62,
AUW,8-13-2015,13,8,2015,87,62,
AUW,8-14-2015,14,8,2015,85,61,
AUW,8-15-2015,15,8,2015,85,64,
AUW,8-16-2015,16,8,2015,84,60,
AUW,8-17-2015,17,8,2015,81,57,
AUW,8-18-2015,18,8,2015,77,58,
AUW,8-19-2015,19,8,2015,80,59,
AVL,8-10-2015,10,8,2015,85,66,
AVL,8-11-2015,11,8,2015,83,62,
AVL,8-12-2015,12,8,2015,81,57,
AVL,8-13-2015,13,8,2015,82,59,
AVL,8-14-2015,14,8,2015,80,60,
AVL,8-15-2015,15,8,2015,83,60,
